date,indicator,value,unit
2016-02-29,Inflation,238.132,Index
2016-02-29,GDP,,Billions of Dollars
2016-02-29,Unemployment,5.0,Percent
2016-02-29,Interest,0.36,Percent
2016-02-29,S&P 500,163.9383,Adjusted Close (SPY)
2016-03-31,Inflation,239.261,Index
2016-03-31,GDP,,Billions of Dollars
2016-03-31,Unemployment,5.1,Percent
2016-03-31,Interest,0.37,Percent
2016-03-31,S&P 500,174.9619,Adjusted Close (SPY)
2016-04-30,Inflation,240.229,Index
2016-04-30,GDP,,Billions of Dollars
2016-04-30,Unemployment,4.8,Percent
2016-04-30,Interest,0.37,Percent
2016-04-30,S&P 500,175.6514,Adjusted Close (SPY)
2016-05-31,Inflation,241.018,Index
2016-05-31,GDP,,Billions of Dollars
2016-05-31,Unemployment,4.9,Percent
2016-05-31,Interest,0.38,Percent
2016-05-31,S&P 500,178.6395,Adjusted Close (SPY)
2016-06-30,Inflation,240.628,Index
2016-06-30,GDP,,Billions of Dollars
2016-06-30,Unemployment,4.8,Percent
2016-06-30,Interest,0.39,Percent
2016-06-30,S&P 500,179.2643,Adjusted Close (SPY)
2016-07-31,Inflation,240.849,Index
2016-07-31,GDP,,Billions of Dollars
2016-07-31,Unemployment,4.9,Percent
2016-07-31,Interest,0.4,Percent
2016-07-31,S&P 500,185.8023,Adjusted Close (SPY)
2016-08-31,Inflation,241.428,Index
2016-08-31,GDP,,Billions of Dollars
2016-08-31,Unemployment,5.0,Percent
2016-08-31,Interest,0.4,Percent
2016-08-31,S&P 500,186.0248,Adjusted Close (SPY)
2016-09-30,Inflation,241.729,Index
2016-09-30,GDP,,Billions of Dollars
2016-09-30,Unemployment,4.9,Percent
2016-09-30,Interest,0.4,Percent
2016-09-30,S&P 500,186.0393,Adjusted Close (SPY)
2016-10-31,Inflation,241.353,Index
2016-10-31,GDP,,Billions of Dollars
2016-10-31,Unemployment,4.7,Percent
2016-10-31,Interest,0.41,Percent
2016-10-31,S&P 500,182.8139,Adjusted Close (SPY)
2016-11-30,Inflation,241.432,Index
2016-11-30,GDP,,Billions of Dollars
2016-11-30,Unemployment,4.7,Percent
2016-11-30,Interest,0.54,Percent
2016-11-30,S&P 500,189.5485,Adjusted Close (SPY)
2016-12-31,Inflation,242.839,Index
2016-12-31,GDP,19612.102,Billions of Dollars
2016-12-31,Unemployment,4.7,Percent
2016-12-31,Interest,0.65,Percent
2016-12-31,S&P 500,193.3932,Adjusted Close (SPY)
2017-01-31,Inflation,243.603,Index
2017-01-31,GDP,,Billions of Dollars
2017-01-31,Unemployment,4.6,Percent
2017-01-31,Interest,0.66,Percent
2017-01-31,S&P 500,196.8539,Adjusted Close (SPY)
2017-02-28,Inflation,243.801,Index
2017-02-28,GDP,,Billions of Dollars
2017-02-28,Unemployment,4.4,Percent
2017-02-28,Interest,0.79,Percent
2017-02-28,S&P 500,204.5886,Adjusted Close (SPY)
2017-03-31,Inflation,244.524,Index
2017-03-31,GDP,,Billions of Dollars
2017-03-31,Unemployment,4.4,Percent
2017-03-31,Interest,0.9,Percent
2017-03-31,S&P 500,204.846,Adjusted Close (SPY)
2017-04-30,Inflation,244.733,Index
2017-04-30,GDP,,Billions of Dollars
2017-04-30,Unemployment,4.4,Percent
2017-04-30,Interest,0.91,Percent
2017-04-30,S&P 500,206.8793,Adjusted Close (SPY)
2017-05-31,Inflation,244.955,Index
2017-05-31,GDP,,Billions of Dollars
2017-05-31,Unemployment,4.3,Percent
2017-05-31,Interest,1.04,Percent
2017-05-31,S&P 500,209.799,Adjusted Close (SPY)
2017-06-30,Inflation,244.786,Index
2017-06-30,GDP,,Billions of Dollars
2017-06-30,Unemployment,4.3,Percent
2017-06-30,Interest,1.15,Percent
2017-06-30,S&P 500,211.1363,Adjusted Close (SPY)
2017-07-31,Inflation,245.519,Index
2017-07-31,GDP,,Billions of Dollars
2017-07-31,Unemployment,4.4,Percent
2017-07-31,Interest,1.16,Percent
2017-07-31,S&P 500,215.476,Adjusted Close (SPY)
2017-08-31,Inflation,246.819,Index
2017-08-31,GDP,,Billions of Dollars
2017-08-31,Unemployment,4.3,Percent
2017-08-31,Interest,1.15,Percent
2017-08-31,S&P 500,216.1047,Adjusted Close (SPY)
2017-09-30,Inflation,246.663,Index
2017-09-30,GDP,,Billions of Dollars
2017-09-30,Unemployment,4.2,Percent
2017-09-30,Interest,1.15,Percent
2017-09-30,S&P 500,220.4573,Adjusted Close (SPY)
2017-10-31,Inflation,246.669,Index
2017-10-31,GDP,,Billions of Dollars
2017-10-31,Unemployment,4.2,Percent
2017-10-31,Interest,1.16,Percent
2017-10-31,S&P 500,225.6521,Adjusted Close (SPY)
2017-11-30,Inflation,246.524,Index
2017-11-30,GDP,,Billions of Dollars
2017-11-30,Unemployment,4.1,Percent
2017-11-30,Interest,1.3,Percent
2017-11-30,S&P 500,232.5494,Adjusted Close (SPY)
2017-12-31,Inflation,247.867,Index
2017-12-31,GDP,20193.896,Billions of Dollars
2017-12-31,Unemployment,4.0,Percent
2017-12-31,Interest,1.41,Percent
2017-12-31,S&P 500,235.3601,Adjusted Close (SPY)
2018-01-31,Inflation,248.991,Index
2018-01-31,GDP,,Billions of Dollars
2018-01-31,Unemployment,4.1,Percent
2018-01-31,Interest,1.42,Percent
2018-01-31,S&P 500,248.6248,Adjusted Close (SPY)
2018-02-28,Inflation,249.554,Index
2018-02-28,GDP,,Billions of Dollars
2018-02-28,Unemployment,4.0,Percent
2018-02-28,Interest,1.51,Percent
2018-02-28,S&P 500,239.5847,Adjusted Close (SPY)
2018-03-31,Inflation,250.546,Index
2018-03-31,GDP,,Billions of Dollars
2018-03-31,Unemployment,4.0,Percent
2018-03-31,Interest,1.69,Percent
2018-03-31,S&P 500,233.0164,Adjusted Close (SPY)
2018-04-30,Inflation,251.588,Index
2018-04-30,GDP,,Billions of Dollars
2018-04-30,Unemployment,3.8,Percent
2018-04-30,Interest,1.7,Percent
2018-04-30,S&P 500,234.2207,Adjusted Close (SPY)
2018-05-31,Inflation,251.989,Index
2018-05-31,GDP,,Billions of Dollars
2018-05-31,Unemployment,4.0,Percent
2018-05-31,Interest,1.82,Percent
2018-05-31,S&P 500,239.9143,Adjusted Close (SPY)
2018-06-30,Inflation,252.006,Index
2018-06-30,GDP,,Billions of Dollars
2018-06-30,Unemployment,3.8,Percent
2018-06-30,Interest,1.91,Percent
2018-06-30,S&P 500,241.2951,Adjusted Close (SPY)
2018-07-31,Inflation,252.146,Index
2018-07-31,GDP,,Billions of Dollars
2018-07-31,Unemployment,3.8,Percent
2018-07-31,Interest,1.91,Percent
2018-07-31,S&P 500,250.2343,Adjusted Close (SPY)
2018-08-31,Inflation,252.439,Index
2018-08-31,GDP,,Billions of Dollars
2018-08-31,Unemployment,3.7,Percent
2018-08-31,Interest,1.95,Percent
2018-08-31,S&P 500,258.2217,Adjusted Close (SPY)
2018-09-30,Inflation,252.885,Index
2018-09-30,GDP,,Billions of Dollars
2018-09-30,Unemployment,3.8,Percent
2018-09-30,Interest,2.19,Percent
2018-09-30,S&P 500,259.7577,Adjusted Close (SPY)
2018-10-31,Inflation,252.038,Index
2018-10-31,GDP,,Billions of Dollars
2018-10-31,Unemployment,3.8,Percent
2018-10-31,Interest,2.2,Percent
2018-10-31,S&P 500,241.8073,Adjusted Close (SPY)
2018-11-30,Inflation,251.233,Index
2018-11-30,GDP,,Billions of Dollars
2018-11-30,Unemployment,3.9,Percent
2018-11-30,Interest,2.27,Percent
2018-11-30,S&P 500,246.2927,Adjusted Close (SPY)
2018-12-31,Inflation,251.712,Index
2018-12-31,GDP,20715.671,Billions of Dollars
2018-12-31,Unemployment,4.0,Percent
2018-12-31,Interest,2.4,Percent
2018-12-31,S&P 500,224.6346,Adjusted Close (SPY)
2019-01-31,Inflation,252.776,Index
2019-01-31,GDP,,Billions of Dollars
2019-01-31,Unemployment,3.8,Percent
2019-01-31,Interest,2.4,Percent
2019-01-31,S&P 500,242.6201,Adjusted Close (SPY)
2019-02-28,Inflation,254.202,Index
2019-02-28,GDP,,Billions of Dollars
2019-02-28,Unemployment,3.8,Percent
2019-02-28,Interest,2.41,Percent
2019-02-28,S&P 500,250.4848,Adjusted Close (SPY)
2019-03-31,Inflation,255.548,Index
2019-03-31,GDP,,Billions of Dollars
2019-03-31,Unemployment,3.7,Percent
2019-03-31,Interest,2.42,Percent
2019-03-31,S&P 500,255.0133,Adjusted Close (SPY)
2019-04-30,Inflation,256.092,Index
2019-04-30,GDP,,Billions of Dollars
2019-04-30,Unemployment,3.6,Percent
2019-04-30,Interest,2.39,Percent
2019-04-30,S&P 500,265.4313,Adjusted Close (SPY)
2019-05-31,Inflation,256.143,Index
2019-05-31,GDP,,Billions of Dollars
2019-05-31,Unemployment,3.6,Percent
2019-05-31,Interest,2.38,Percent
2019-05-31,S&P 500,248.5044,Adjusted Close (SPY)
2019-06-30,Inflation,256.571,Index
2019-06-30,GDP,,Billions of Dollars
2019-06-30,Unemployment,3.7,Percent
2019-06-30,Interest,2.4,Percent
2019-06-30,S&P 500,265.7984,Adjusted Close (SPY)
2019-07-31,Inflation,256.558,Index
2019-07-31,GDP,,Billions of Dollars
2019-07-31,Unemployment,3.6,Percent
2019-07-31,Interest,2.13,Percent
2019-07-31,S&P 500,269.8172,Adjusted Close (SPY)
2019-08-31,Inflation,256.759,Index
2019-08-31,GDP,,Billions of Dollars
2019-08-31,Unemployment,3.5,Percent
2019-08-31,Interest,2.04,Percent
2019-08-31,S&P 500,265.2995,Adjusted Close (SPY)
2019-09-30,Inflation,257.346,Index
2019-09-30,GDP,,Billions of Dollars
2019-09-30,Unemployment,3.6,Percent
2019-09-30,Interest,1.83,Percent
2019-09-30,S&P 500,270.4673,Adjusted Close (SPY)
2019-10-31,Inflation,257.208,Index
2019-10-31,GDP,,Billions of Dollars
2019-10-31,Unemployment,3.6,Percent
2019-10-31,Interest,1.55,Percent
2019-10-31,S&P 500,276.4458,Adjusted Close (SPY)
2019-11-30,Inflation,256.974,Index
2019-11-30,GDP,,Billions of Dollars
2019-11-30,Unemployment,3.6,Percent
2019-11-30,Interest,1.55,Percent
2019-11-30,S&P 500,286.4527,Adjusted Close (SPY)
2019-12-31,Inflation,257.971,Index
2019-12-31,GDP,20284.5,Billions of Dollars
2019-12-31,Unemployment,3.6,Percent
2019-12-31,Interest,1.55,Percent
2019-12-31,S&P 500,294.7694,Adjusted Close (SPY)
2020-01-31,Inflation,258.678,Index
2020-01-31,GDP,,Billions of Dollars
2020-01-31,Unemployment,3.5,Percent
2020-01-31,Interest,1.58,Percent
2020-01-31,S&P 500,294.6504,Adjusted Close (SPY)
2020-02-29,Inflation,258.115,Index
2020-02-29,GDP,,Billions of Dollars
2020-02-29,Unemployment,4.4,Percent
2020-02-29,Interest,0.65,Percent
2020-02-29,S&P 500,271.3241,Adjusted Close (SPY)
2020-03-31,Inflation,256.389,Index
2020-03-31,GDP,,Billions of Dollars
2020-03-31,Unemployment,14.8,Percent
2020-03-31,Interest,0.05,Percent
2020-03-31,S&P 500,237.5056,Adjusted Close (SPY)
2020-04-30,Inflation,256.394,Index
2020-04-30,GDP,,Billions of Dollars
2020-04-30,Unemployment,13.2,Percent
2020-04-30,Interest,0.05,Percent
2020-04-30,S&P 500,267.6649,Adjusted Close (SPY)
2020-05-31,Inflation,257.797,Index
2020-05-31,GDP,,Billions of Dollars
2020-05-31,Unemployment,11.0,Percent
2020-05-31,Interest,0.08,Percent
2020-05-31,S&P 500,280.4179,Adjusted Close (SPY)
2020-06-30,Inflation,259.101,Index
2020-06-30,GDP,,Billions of Dollars
2020-06-30,Unemployment,10.2,Percent
2020-06-30,Interest,0.09,Percent
2020-06-30,S&P 500,285.3984,Adjusted Close (SPY)
2020-07-31,Inflation,259.918,Index
2020-07-31,GDP,,Billions of Dollars
2020-07-31,Unemployment,8.4,Percent
2020-07-31,Interest,0.1,Percent
2020-07-31,S&P 500,302.2061,Adjusted Close (SPY)
2020-08-31,Inflation,260.28,Index
2020-08-31,GDP,,Billions of Dollars
2020-08-31,Unemployment,7.8,Percent
2020-08-31,Interest,0.09,Percent
2020-08-31,S&P 500,323.2991,Adjusted Close (SPY)
2020-09-30,Inflation,260.388,Index
2020-09-30,GDP,,Billions of Dollars
2020-09-30,Unemployment,6.9,Percent
2020-09-30,Interest,0.09,Percent
2020-09-30,S&P 500,311.2082,Adjusted Close (SPY)
2020-10-31,Inflation,260.229,Index
2020-10-31,GDP,,Billions of Dollars
2020-10-31,Unemployment,6.7,Percent
2020-10-31,Interest,0.09,Percent
2020-10-31,S&P 500,303.4487,Adjusted Close (SPY)
2020-11-30,Inflation,260.474,Index
2020-11-30,GDP,,Billions of Dollars
2020-11-30,Unemployment,6.7,Percent
2020-11-30,Interest,0.09,Percent
2020-11-30,S&P 500,336.4569,Adjusted Close (SPY)
2020-12-31,Inflation,261.582,Index
2020-12-31,GDP,21532.407,Billions of Dollars
2020-12-31,Unemployment,6.4,Percent
2020-12-31,Interest,0.09,Percent
2020-12-31,S&P 500,348.928,Adjusted Close (SPY)
2021-01-31,Inflation,263.014,Index
2021-01-31,GDP,,Billions of Dollars
2021-01-31,Unemployment,6.2,Percent
2021-01-31,Interest,0.08,Percent
2021-01-31,S&P 500,345.3723,Adjusted Close (SPY)
2021-02-28,Inflation,264.877,Index
2021-02-28,GDP,,Billions of Dollars
2021-02-28,Unemployment,6.1,Percent
2021-02-28,Interest,0.07,Percent
2021-02-28,S&P 500,354.9755,Adjusted Close (SPY)
2021-03-31,Inflation,267.054,Index
2021-03-31,GDP,,Billions of Dollars
2021-03-31,Unemployment,6.1,Percent
2021-03-31,Interest,0.07,Percent
2021-03-31,S&P 500,371.0932,Adjusted Close (SPY)
2021-04-30,Inflation,269.195,Index
2021-04-30,GDP,,Billions of Dollars
2021-04-30,Unemployment,5.8,Percent
2021-04-30,Interest,0.06,Percent
2021-04-30,S&P 500,390.7279,Adjusted Close (SPY)
2021-05-31,Inflation,271.696,Index
2021-05-31,GDP,,Billions of Dollars
2021-05-31,Unemployment,5.9,Percent
2021-05-31,Interest,0.08,Percent
2021-05-31,S&P 500,393.2935,Adjusted Close (SPY)
2021-06-30,Inflation,273.003,Index
2021-06-30,GDP,,Billions of Dollars
2021-06-30,Unemployment,5.4,Percent
2021-06-30,Interest,0.1,Percent
2021-06-30,S&P 500,402.1318,Adjusted Close (SPY)
2021-07-31,Inflation,273.567,Index
2021-07-31,GDP,,Billions of Dollars
2021-07-31,Unemployment,5.1,Percent
2021-07-31,Interest,0.09,Percent
2021-07-31,S&P 500,411.9489,Adjusted Close (SPY)
2021-08-31,Inflation,274.31,Index
2021-08-31,GDP,,Billions of Dollars
2021-08-31,Unemployment,4.7,Percent
2021-08-31,Interest,0.08,Percent
2021-08-31,S&P 500,424.2084,Adjusted Close (SPY)
2021-09-30,Inflation,276.589,Index
2021-09-30,GDP,,Billions of Dollars
2021-09-30,Unemployment,4.5,Percent
2021-09-30,Interest,0.08,Percent
2021-09-30,S&P 500,404.4508,Adjusted Close (SPY)
2021-10-31,Inflation,277.948,Index
2021-10-31,GDP,,Billions of Dollars
2021-10-31,Unemployment,4.2,Percent
2021-10-31,Interest,0.08,Percent
2021-10-31,S&P 500,432.8285,Adjusted Close (SPY)
2021-11-30,Inflation,278.802,Index
2021-11-30,GDP,,Billions of Dollars
2021-11-30,Unemployment,3.9,Percent
2021-11-30,Interest,0.08,Percent
2021-11-30,S&P 500,429.3508,Adjusted Close (SPY)
2021-12-31,Inflation,281.148,Index
2021-12-31,GDP,22075.931,Billions of Dollars
2021-12-31,Unemployment,4.0,Percent
2021-12-31,Interest,0.08,Percent
2021-12-31,S&P 500,449.2247,Adjusted Close (SPY)
2022-01-31,Inflation,283.716,Index
2022-01-31,GDP,,Billions of Dollars
2022-01-31,Unemployment,3.8,Percent
2022-01-31,Interest,0.08,Percent
2022-01-31,S&P 500,425.532,Adjusted Close (SPY)
2022-02-28,Inflation,287.504,Index
2022-02-28,GDP,,Billions of Dollars
2022-02-28,Unemployment,3.7,Percent
2022-02-28,Interest,0.2,Percent
2022-02-28,S&P 500,412.9716,Adjusted Close (SPY)
2022-03-31,Inflation,289.109,Index
2022-03-31,GDP,,Billions of Dollars
2022-03-31,Unemployment,3.7,Percent
2022-03-31,Interest,0.33,Percent
2022-03-31,S&P 500,428.481,Adjusted Close (SPY)
2022-04-30,Inflation,292.296,Index
2022-04-30,GDP,,Billions of Dollars
2022-04-30,Unemployment,3.6,Percent
2022-04-30,Interest,0.77,Percent
2022-04-30,S&P 500,390.8736,Adjusted Close (SPY)
2022-05-31,Inflation,296.311,Index
2022-05-31,GDP,,Billions of Dollars
2022-05-31,Unemployment,3.6,Percent
2022-05-31,Interest,1.21,Percent
2022-05-31,S&P 500,391.7559,Adjusted Close (SPY)
2022-06-30,Inflation,296.276,Index
2022-06-30,GDP,,Billions of Dollars
2022-06-30,Unemployment,3.5,Percent
2022-06-30,Interest,1.68,Percent
2022-06-30,S&P 500,359.4481,Adjusted Close (SPY)
2022-07-31,Inflation,296.171,Index
2022-07-31,GDP,,Billions of Dollars
2022-07-31,Unemployment,3.6,Percent
2022-07-31,Interest,2.33,Percent
2022-07-31,S&P 500,392.5488,Adjusted Close (SPY)
2022-08-31,Inflation,296.808,Index
2022-08-31,GDP,,Billions of Dollars
2022-08-31,Unemployment,3.5,Percent
2022-08-31,Interest,2.56,Percent
2022-08-31,S&P 500,376.532,Adjusted Close (SPY)
2022-09-30,Inflation,298.012,Index
2022-09-30,GDP,,Billions of Dollars
2022-09-30,Unemployment,3.6,Percent
2022-09-30,Interest,3.08,Percent
2022-09-30,S&P 500,341.7343,Adjusted Close (SPY)
2022-10-31,Inflation,297.711,Index
2022-10-31,GDP,,Billions of Dollars
2022-10-31,Unemployment,3.6,Percent
2022-10-31,Interest,3.78,Percent
2022-10-31,S&P 500,369.5089,Adjusted Close (SPY)
2022-11-30,Inflation,296.797,Index
2022-11-30,GDP,,Billions of Dollars
2022-11-30,Unemployment,3.5,Percent
2022-11-30,Interest,4.1,Percent
2022-11-30,S&P 500,390.0505,Adjusted Close (SPY)
2022-12-31,Inflation,299.17,Index
2022-12-31,GDP,22723.719,Billions of Dollars
2022-12-31,Unemployment,3.5,Percent
2022-12-31,Interest,4.33,Percent
2022-12-31,S&P 500,367.593,Adjusted Close (SPY)
2023-01-31,Inflation,300.84,Index
2023-01-31,GDP,,Billions of Dollars
2023-01-31,Unemployment,3.6,Percent
2023-01-31,Interest,4.57,Percent
2023-01-31,S&P 500,390.7099,Adjusted Close (SPY)
2023-02-28,Inflation,301.836,Index
2023-02-28,GDP,,Billions of Dollars
2023-02-28,Unemployment,3.5,Percent
2023-02-28,Interest,4.65,Percent
2023-02-28,S&P 500,380.8864,Adjusted Close (SPY)
2023-03-31,Inflation,303.363,Index
2023-03-31,GDP,,Billions of Dollars
2023-03-31,Unemployment,3.4,Percent
2023-03-31,Interest,4.83,Percent
2023-03-31,S&P 500,395.0268,Adjusted Close (SPY)
2023-04-30,Inflation,304.127,Index
2023-04-30,GDP,,Billions of Dollars
2023-04-30,Unemployment,3.6,Percent
2023-04-30,Interest,5.06,Percent
2023-04-30,S&P 500,401.3374,Adjusted Close (SPY)
2023-05-31,Inflation,305.109,Index
2023-05-31,GDP,,Billions of Dollars
2023-05-31,Unemployment,3.6,Percent
2023-05-31,Interest,5.08,Percent
2023-05-31,S&P 500,403.19,Adjusted Close (SPY)
2023-06-30,Inflation,305.691,Index
2023-06-30,GDP,,Billions of Dollars
2023-06-30,Unemployment,3.5,Percent
2023-06-30,Interest,5.12,Percent
2023-06-30,S&P 500,429.3224,Adjusted Close (SPY)
2023-07-31,Inflation,307.026,Index
2023-07-31,GDP,,Billions of Dollars
2023-07-31,Unemployment,3.7,Percent
2023-07-31,Interest,5.33,Percent
2023-07-31,S&P 500,443.3756,Adjusted Close (SPY)
2023-08-31,Inflation,307.789,Index
2023-08-31,GDP,,Billions of Dollars
2023-08-31,Unemployment,3.8,Percent
2023-08-31,Interest,5.33,Percent
2023-08-31,S&P 500,436.1698,Adjusted Close (SPY)
2023-09-30,Inflation,307.671,Index
2023-09-30,GDP,,Billions of Dollars
2023-09-30,Unemployment,3.9,Percent
2023-09-30,Interest,5.33,Percent
2023-09-30,S&P 500,415.4983,Adjusted Close (SPY)
2023-10-31,Inflation,307.051,Index
2023-10-31,GDP,,Billions of Dollars
2023-10-31,Unemployment,3.7,Percent
2023-10-31,Interest,5.33,Percent
2023-10-31,S&P 500,406.4784,Adjusted Close (SPY)
2023-11-30,Inflation,306.746,Index
2023-11-30,GDP,,Billions of Dollars
2023-11-30,Unemployment,3.8,Percent
2023-11-30,Interest,5.33,Percent
2023-11-30,S&P 500,443.6077,Adjusted Close (SPY)
2023-12-31,Inflation,308.417,Index
2023-12-31,GDP,23358.435,Billions of Dollars
2023-12-31,Unemployment,3.7,Percent
2023-12-31,Interest,5.33,Percent
2023-12-31,S&P 500,463.864,Adjusted Close (SPY)
2024-01-31,Inflation,310.326,Index
2024-01-31,GDP,,Billions of Dollars
2024-01-31,Unemployment,3.9,Percent
2024-01-31,Interest,5.33,Percent
2024-01-31,S&P 500,471.2517,Adjusted Close (SPY)
2024-02-29,Inflation,312.332,Index
2024-02-29,GDP,,Billions of Dollars
2024-02-29,Unemployment,3.9,Percent
2024-02-29,Interest,5.33,Percent
2024-02-29,S&P 500,495.8448,Adjusted Close (SPY)
2024-03-31,Inflation,313.548,Index
2024-03-31,GDP,,Billions of Dollars
2024-03-31,Unemployment,3.9,Percent
2024-03-31,Interest,5.33,Percent
2024-03-31,S&P 500,512.0708,Adjusted Close (SPY)
2024-04-30,Inflation,314.069,Index
2024-04-30,GDP,,Billions of Dollars
2024-04-30,Unemployment,4.0,Percent
2024-04-30,Interest,5.33,Percent
2024-04-30,S&P 500,491.4243,Adjusted Close (SPY)
2024-05-31,Inflation,314.175,Index
2024-05-31,GDP,,Billions of Dollars
2024-05-31,Unemployment,4.1,Percent
2024-05-31,Interest,5.33,Percent
2024-05-31,S&P 500,516.2804,Adjusted Close (SPY)
2024-06-30,Inflation,314.54,Index
2024-06-30,GDP,,Billions of Dollars
2024-06-30,Unemployment,4.2,Percent
2024-06-30,Interest,5.33,Percent
2024-06-30,S&P 500,534.4972,Adjusted Close (SPY)
2024-07-31,Inflation,314.796,Index
2024-07-31,GDP,,Billions of Dollars
2024-07-31,Unemployment,4.2,Percent
2024-07-31,Interest,5.33,Percent
2024-07-31,S&P 500,540.9694,Adjusted Close (SPY)
2024-08-31,Inflation,315.301,Index
2024-08-31,GDP,,Billions of Dollars
2024-08-31,Unemployment,4.1,Percent
2024-08-31,Interest,5.13,Percent
2024-08-31,S&P 500,553.6095,Adjusted Close (SPY)
2024-09-30,Inflation,315.664,Index
2024-09-30,GDP,,Billions of Dollars
2024-09-30,Unemployment,4.1,Percent
2024-09-30,Interest,4.83,Percent
2024-09-30,S&P 500,565.2404,Adjusted Close (SPY)
2024-10-31,Inflation,315.493,Index
2024-10-31,GDP,,Billions of Dollars
2024-10-31,Unemployment,4.2,Percent
2024-10-31,Interest,4.64,Percent
2024-10-31,S&P 500,560.1964,Adjusted Close (SPY)
2024-11-30,Inflation,315.605,Index
2024-11-30,GDP,,Billions of Dollars
2024-11-30,Unemployment,4.1,Percent
2024-11-30,Interest,4.48,Percent
2024-11-30,S&P 500,593.6029,Adjusted Close (SPY)
2024-12-31,Inflation,317.671,Index
2024-12-31,GDP,,Billions of Dollars
2024-12-31,Unemployment,4.0,Percent
2024-12-31,Interest,4.33,Percent
2024-12-31,S&P 500,579.2972,Adjusted Close (SPY)
2025-01-31,Inflation,319.082,Index
2025-01-31,GDP,,Billions of Dollars
2025-01-31,Unemployment,4.1,Percent
2025-01-31,Interest,4.33,Percent
2025-01-31,S&P 500,594.855,Adjusted Close (SPY)
2025-02-28,Inflation,319.799,Index
2025-02-28,GDP,,Billions of Dollars
2025-02-28,Unemployment,4.2,Percent
2025-02-28,Interest,4.33,Percent
2025-02-28,S&P 500,587.3034,Adjusted Close (SPY)
2025-03-31,Inflation,320.795,Index
2025-03-31,GDP,,Billions of Dollars
2025-03-31,Unemployment,4.2,Percent
2025-03-31,Interest,4.33,Percent
2025-03-31,S&P 500,554.5783,Adjusted Close (SPY)
2025-04-30,Inflation,321.465,Index
2025-04-30,GDP,,Billions of Dollars
2025-04-30,Unemployment,4.2,Percent
2025-04-30,Interest,4.33,Percent
2025-04-30,S&P 500,549.7701,Adjusted Close (SPY)
2025-05-31,Inflation,322.561,Index
2025-05-31,GDP,,Billions of Dollars
2025-05-31,Unemployment,4.1,Percent
2025-05-31,Interest,4.33,Percent
2025-05-31,S&P 500,584.3203,Adjusted Close (SPY)
2025-06-30,Inflation,323.048,Index
2025-06-30,GDP,,Billions of Dollars
2025-06-30,Unemployment,4.2,Percent
2025-06-30,Interest,4.33,Percent
2025-06-30,S&P 500,614.3507,Adjusted Close (SPY)
2025-07-31,Inflation,323.976,Index
2025-07-31,GDP,,Billions of Dollars
2025-07-31,Unemployment,4.3,Percent
2025-07-31,Interest,4.33,Percent
2025-07-31,S&P 500,628.5001,Adjusted Close (SPY)
2025-08-31,Inflation,324.8,Index
2025-08-31,GDP,,Billions of Dollars
2025-08-31,Unemployment,4.4,Percent
2025-08-31,Interest,4.22,Percent
2025-08-31,S&P 500,641.3967,Adjusted Close (SPY)
2025-09-30,Inflation,,Index
2025-09-30,GDP,,Billions of Dollars
2025-09-30,Unemployment,,Percent
2025-09-30,Interest,4.09,Percent
2025-09-30,S&P 500,664.2345,Adjusted Close (SPY)
2025-10-31,Inflation,324.122,Index
2025-10-31,GDP,,Billions of Dollars
2025-10-31,Unemployment,4.6,Percent
2025-10-31,Interest,3.88,Percent
2025-10-31,S&P 500,680.0682,Adjusted Close (SPY)
2025-11-30,Inflation,,Index
2025-11-30,GDP,,Billions of Dollars
2025-11-30,Unemployment,,Percent
2025-11-30,Interest,3.72,Percent
2025-11-30,S&P 500,681.3943,Adjusted Close (SPY)
2025-12-31,Inflation,,Index
2025-12-31,GDP,,Billions of Dollars
2025-12-31,Unemployment,,Percent
2025-12-31,Interest,,Percent
2025-12-31,S&P 500,681.92,Adjusted Close (SPY)
